15S_RRNA	15S ribosomal RNA
TRM13	tRNA:m4X modification enzyme
TRM2	Trm2p
TRM3	tRNA (guanosine(18)-2'-O)-methyltransferase
TRM44	tRNA (uracil) methyltransferase
TRM5	tRNA (guanine) methyltransferase
TRM7	tRNA methyltransferase TRM7
TRM732	tRNA methylation protein TRM732
TRM8	tRNA (guanine46-N7)-methyltransferase
TRM82	Trm82p
TRM9	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase
TRN1	tRNA
TRP1	phosphoribosylanthranilate isomerase TRP1
TRP2	anthranilate synthase TRP2
TRP3	bifunctional anthranilate synthase/indole-3-glycerol-phosphate synthase
TRP4	anthranilate phosphoribosyltransferase
TRP5	tryptophan synthase TRP5
TRR1	thioredoxin-disulfide reductase TRR1
TRR2	thioredoxin-disulfide reductase TRR2
TRR4	tRNA
TRS120	Trs120p
TRS130	transport protein particle complex II subunit TRS130
TRS20	TRAPP subunit TRS20
TRS23	TRAPP subunit TRS23
TRS31	TRAPP subunit TRS31
TRS33	Trs33p
TRS65	Trs65p
TRS85	Trs85p
TRT2	tRNA
TRX1	thioredoxin TRX1
TRX2	thioredoxin TRX2
TRX3	Trx3p
TRZ1	tRNase Z
TSA1	thioredoxin peroxidase TSA1
TSA2	thioredoxin peroxidase TSA2
TSC10	3-dehydrosphinganine reductase
TSC11	TORC2 complex subunit TSC11
TSC13	trans-2-enoyl-CoA reductase (NADPH) TSC13
TSC3	Tsc3p
TSL1	trehalose 6-phosphate synthase/phosphatase complex subunit
TSR1	Tsr1p
TSR2	Tsr2p
TSR3	Tsr3p
TSR4	Tsr4p
TTI1	Tti1p
TTI2	Tti2p
TUB1	alpha-tubulin TUB1
TUB2	beta-tubulin
TUB3	alpha-tubulin TUB3
TUB4	gamma-tubulin
TUF1	translation elongation factor Tu
TUL1	ubiquitin-protein ligase TUL1
TUM1	thiosulfate sulfurtransferase
TUP1	chromatin-silencing transcriptional regulator TUP1
TUS1	Rho family guanine nucleotide exchange factor TUS1
TVP15	Tvp15p
TVP18	Tvp18p
TVP23	Tvp23p
TVP38	Tvp38p
TWF1	Twf1p
TYE7	Tye7p
TYR1	prephenate dehydrogenase (NADP(+))
TYS1	tyrosine--tRNA ligase TYS1
TYW1	putative tRNA 4-demethylwyosine synthase
TYW3	tRNA methyltransferase TYW3
UAF30	Uaf30p
UBA1	E1 ubiquitin-activating protein UBA1
UBA2	E1 ubiquitin-activating protein UBA2
UBA3	NEDD8-activating protein UBA3
UBA4	Uba4p
UBC1	E2 ubiquitin-conjugating protein UBC1
UBC11	putative E2 ubiquitin-protein ligase UBC11
UBC12	NEDD8-conjugating protein UBC12
UBC13	E2 ubiquitin-conjugating protein UBC13
UBC4	E2 ubiquitin-conjugating protein UBC4
UBC5	E2 ubiquitin-conjugating protein UBC5
UBC6	E2 ubiquitin-conjugating protein UBC6
UBC7	E2 ubiquitin-conjugating protein UBC7
UBC8	E2 ubiquitin-conjugating protein UBC8
UBC9	E2 SUMO-conjugating protein UBC9
UBI4	ubiquitin
UBP1	ubiquitin-specific protease UBP1
UBP10	ubiquitin-specific protease UBP10
UBP11	ubiquitin-specific protease UBP11
UBP12	putative ubiquitin-specific protease UBP12
UBP13	ubiquitin-specific protease UBP13
UBP14	ubiquitin-specific protease UBP14
UBP15	ubiquitin-specific protease UBP15
UBP16	putative ubiquitin-specific protease UBP16
UBP2	ubiquitin-specific protease UBP2
UBP3	mRNA-binding ubiquitin-specific protease UBP3
UBP5	putative ubiquitin-specific protease UBP5
UBP6	ubiquitin-specific protease UBP6
UBP7	ubiquitin-specific protease UBP7
UBP8	ubiquitin-specific protease UBP8
UBP9	putative ubiquitin-specific protease UBP9
UBR1	E3 ubiquitin-protein ligase UBR1
UBR2	putative ubiquitin-protein ligase UBR2
UBS1	Ubs1p
UBX2	Ubx2p
UBX3	Ubx3p
UBX4	Ubx4p
UBX5	Ubx5p
UBX6	Ubx6p
UBX7	Ubx7p
UCC1	Ucc1p
UFD1	polyubiquitin-binding protein UFD1
UFD2	ubiquitin-ubiquitin ligase UFD2
UFD4	putative ubiquitin-protein ligase UFD4
UFE1	Ufe1p
UFO1	SCF ubiquitin ligase complex subunit UFO1
UGA1	4-aminobutyrate transaminase
UGA2	succinate-semialdehyde dehydrogenase (NAD(P)(+))
UGA3	Uga3p
UGA4	Uga4p
UGO1	Ugo1p
UGP1	UTP glucose-1-phosphate uridylyltransferase
UGX2	Ugx2p
UIP3	DUP240 family protein UIP3
UIP4	Uip4p
UIP5	Uip5p
ULA1	Ula1p
ULI1	Uli1p
ULP1	SUMO protease ULP1
ULP2	SUMO protease ULP2
ULS1	translocase ULS1
UME1	Ume1p
UME6	DNA-binding transcriptional regulator UME6
UMP1	Ump1p
UNG1	uracil-DNA glycosylase
UPC2	Upc2p
UPF3	Upf3p
UPS1	Ups1p
UPS2	Ups2p
UPS3	Ups3p
URA1	dihydroorotate dehydrogenase
URA10	orotate phosphoribosyltransferase URA10
URA2	bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase
URA3	orotidine-5'-phosphate decarboxylase
URA4	dihydroorotase
URA5	orotate phosphoribosyltransferase URA5
URA6	bifunctional uridylate/adenylate kinase
URA7	CTP synthase URA7
URA8	CTP synthase URA8
URB1	Urb1p
URB2	Urb2p
URC2	Urc2p
URE2	Ure2p
URH1	trifunctional uridine nucleosidase/nicotinamide riboside hydrolase/nicotinic acid riboside hydrolase
URK1	uridine kinase URK1
URM1	ubiquitin-related modifier URM1
URN1	Urn1p
USA1	Usa1p
USB1	phosphoric diester hydrolase
USE1	SNAP receptor USE1
USO1	Uso1p
USV1	Usv1p
UTH1	SUN family protein UTH1
UTP10	snoRNA-binding rRNA-processing protein UTP10
UTP11	rRNA-processing protein UTP11
UTP13	Utp13p
UTP14	Utp14p
UTP15	snoRNA-binding rRNA-processing protein UTP15
UTP18	Utp18p
UTP20	Utp20p
UTP21	rRNA-processing protein UTP21
UTP22	rRNA-processing protein UTP22
UTP23	rRNA-binding ribosome biosynthesis protein UTP23
UTP25	rRNA-binding ribosome biosynthesis protein UTP25
UTP30	Utp30p
UTP4	Utp4p
UTP5	Utp5p
UTP6	snoRNA-binding rRNA-processing protein UTP6
UTP7	Utp7p
UTP8	Utp8p
UTP9	Utp9p
UTR1	NADH/NAD(+) kinase
UTR2	Utr2p
UTR4	putative acireductone synthase UTR4
UTR5	Utr5p
VAB2	Vab2p
VAC14	Vac14p
VAC17	Vac17p
VAC7	Vac7p
VAC8	protein anchor VAC8
VAM10	Vam10p
VAM3	SNAP receptor VAM3
VAM6	Vam6p
VAM7	Vam7p
VAN1	Van1p
VAR1	mitochondrial 37S ribosomal protein VAR1
VAS1	valine--tRNA ligase
VBA1	Vba1p
VBA2	Vba2p
VBA3	basic amino acid transporter
VBA4	Vba4p
VBA5	basic amino acid transporter
VCX1	Vcx1p
VEL1	Vel1p
VFA1	Vfa1p
VHC1	Vhc1p
VHR1	Vhr1p
VHR2	Vhr2p
VHS1	putative serine/threonine protein kinase VHS1
VHS2	Vhs2p
VHS3	phosphopantothenoylcysteine decarboxylase complex subunit VHS3
VHT1	Vht1p
VID22	Vid22p
VID24	glucose-induced degradation complex subunit VID24
VID27	Vid27p
VID28	glucose-induced degradation complex subunit VID28
VID30	glucose-induced degradation complex subunit VID30
VIK1	Vik1p
VIP1	inositol polyphosphate kinase VIP1
VMA1	H(+)-transporting V1 sector ATPase subunit A
VMA10	H(+)-transporting V1 sector ATPase subunit G
VMA11	H(+)-transporting V0 sector ATPase subunit c'
VMA13	H(+)-transporting V1 sector ATPase subunit H
VMA16	H(+)-transporting V0 sector ATPase subunit c''
VMA2	H(+)-transporting V1 sector ATPase subunit B
VMA21	Vma21p
VMA22	Vma22p
VMA3	H(+)-transporting V0 sector ATPase subunit c
VMA4	H(+)-transporting V1 sector ATPase subunit E
VMA5	H(+)-transporting V1 sector ATPase subunit C
VMA6	H(+)-transporting V0 sector ATPase subunit d
VMA7	H(+)-transporting V1 sector ATPase subunit F
VMA8	H(+)-transporting V1 sector ATPase subunit D
VMA9	H(+)-transporting V0 sector ATPase subunit e
VMR1	putative ATP-binding cassette multidrug transporter VMR1
VMS1	Vms1p
VNX1	Vnx1p
VOA1	Voa1p
VPH1	H(+)-transporting V0 sector ATPase subunit a
VPH2	Vph2p
VPS1	dynamin-like GTPase VPS1
VPS13	membrane morphogenesis protein VPS13
VPS15	ubiquitin-binding serine/threonine protein kinase VPS15
VPS16	tethering complex subunit VPS16
VPS17	retromer subunit VPS17
VPS20	ESCRT-III subunit protein VPS20
VPS21	Rab family GTPase VPS21
VPS24	ESCRT-III subunit protein VPS24
VPS25	ESCRT-II subunit protein VPS25
VPS27	ESCRT-0 subunit protein VPS27
VPS28	ESCRT-I subunit protein VPS28
VPS29	retromer subunit VPS29
VPS3	CORVET complex subunit VPS3
VPS30	beclin 1
VPS33	tethering complex ATP-binding subunit VPS33
VPS34	phosphatidylinositol 3-kinase VPS34
VPS35	retromer subunit VPS35
VPS36	ESCRT-II subunit protein VPS36
VPS38	Vps38p
VPS4	AAA family ATPase VPS4
VPS41	Vps41p
VPS45	Vps45p
VPS5	sorting nexin 1
VPS51	Vps51p
VPS52	Vps52p
VPS53	Vps53p
VPS54	Vps54p
VPS55	Vps55p
VPS60	Vps60p
VPS62	Vps62p
VPS63	Vps63p
VPS64	Vps64p
VPS68	Vps68p
VPS70	putative zinc metalloprotease
VPS71	Vps71p
VPS72	Vps72p
VPS73	putative sugar transporter
VPS74	Vps74p
VPS75	Vps75p
VPS8	CORVET complex membrane-binding subunit VPS8
VPS9	guanine nucleotide exchange factor VPS9
VRG4	GDP-mannose transporter
VRP1	Vrp1p
VTA1	Vta1p
VTC1	Vtc1p
VTC2	vacuolar transporter chaperone
VTC3	vacuolar transporter chaperone
VTC4	Vtc4p
VTC5	hypothetical protein
VTH1	signal sequence-binding protein
VTH2	signal sequence-binding protein
VTI1	v-SNARE protein VTI1
VTS1	Vts1p
WAR1	War1p
WBP1	dolichyl-diphosphooligosaccharide-protein glycotransferase
WHI2	Whi2p
WHI3	mRNA-binding protein WHI3
WHI4	Whi4p
WHI5	transcriptional repressor WHI5
WIP1	Wip1p
WRS1	tryptophan--tRNA ligase WRS1
WSC2	Wsc2p
WSC3	Wsc3p
WSC4	Wsc4p
WSS1	metalloendopeptidase WSS1
WTM1	transcriptional modulator
WTM2	transcriptional modulator
WWM1	Wwm1p
XBP1	Xbp1p
XDJ1	Xdj1p
XKS1	xylulokinase
XPT1	xanthine phosphoribosyltransferase
XRN1	chromatin-binding exonuclease XRN1
XRS2	Xrs2p
XYL2	D-xylulose reductase XYL2
YAE1	Yae1p
YAF9	Yaf9p
YAH1	adrenodoxin
YAK1	serine/threonine protein kinase YAK1
YAL037C-A	hypothetical protein
YAL037W	hypothetical protein
YAL063C-A	hypothetical protein
YAL064W	hypothetical protein
YAL064W-B	hypothetical protein
YAL065C	hypothetical protein
YAL067W-A	hypothetical protein
YAP1	DNA-binding transcription factor YAP1
YAP1801	Yap1801p
YAP1802	Yap1802p
YAP3	Yap3p
YAP5	Yap5p
YAP6	Yap6p
YAP7	Yap7p
YAR009C	truncated gag-pol fusion protein
YAR010C	gag protein
YAR023C	DUP240 family protein
YAR028W	DUP240 family protein
YAR029W	DUP240 family protein
YAR035C-A	hypothetical protein
YAR061W	pseudo
YAR064W	hypothetical protein
YAR066W	hypothetical protein
YAR068W	hypothetical protein
YAR1	Yar1p
YAT1	carnitine O-acetyltransferase YAT1
YAT2	carnitine O-acetyltransferase YAT2
YBL005W-A	gag protein
YBL005W-B	gag-pol fusion protein
YBL008W-A	hypothetical protein
YBL010C	hypothetical protein
YBL028C	hypothetical protein
YBL029C-A	hypothetical protein
YBL029W	hypothetical protein
YBL036C	hypothetical protein
YBL039W-B	hypothetical protein
YBL044W	hypothetical protein
YBL055C	3'-5'-exodeoxyribonuclease
YBL059W	hypothetical protein
YBL071C	hypothetical protein
YBL071C-B	hypothetical protein
YBL081W	hypothetical protein
YBL086C	hypothetical protein
YBL100W-A	gag protein
YBL100W-B	gag-pol fusion protein
YBL100W-C	hypothetical protein
YBL111C	hypothetical protein
YBL112C	hypothetical protein
YBL113C	hypothetical protein
YBP1	Ybp1p
YBP2	Ybp2p
YBR012W-A	gag protein
YBR012W-B	gag-pol fusion protein
YBR013C	hypothetical protein
YBR016W	hypothetical protein
YBR027C	hypothetical protein
YBR032W	hypothetical protein
YBR053C	hypothetical protein
YBR056W	17-beta-hydroxysteroid dehydrogenase-like protein
YBR056W-A	hypothetical protein
YBR062C	hypothetical protein
YBR063C	hypothetical protein
YBR071W	hypothetical protein
YBR072C-A	hypothetical protein
YBR085C-A	hypothetical protein
YBR090C	hypothetical protein
YBR096W	hypothetical protein
YBR137W	hypothetical protein
YBR138C	hypothetical protein
YBR139W	carboxypeptidase C
YBR144C	hypothetical protein
YBR182C-A	hypothetical protein
YBR184W	hypothetical protein
YBR196C-A	hypothetical protein
YBR196C-B	hypothetical protein
YBR197C	hypothetical protein
YBR200W-A	hypothetical protein
YBR201C-A	hypothetical protein
YBR209W	hypothetical protein
YBR219C	hypothetical protein
YBR220C	hypothetical protein
YBR221W-A	hypothetical protein
YBR225W	hypothetical protein
YBR230W-A	hypothetical protein
YBR238C	hypothetical protein
YBR241C	hypothetical protein
YBR242W	hypothetical protein
YBR259W	hypothetical protein
YBR284W	metallo-dependent hydrolase superfamily protein
YBR285W	hypothetical protein
YBR287W	hypothetical protein
YBR292C	hypothetical protein
YBR296C-A	hypothetical protein
YBR298C-A	hypothetical protein
YBT1	bile acid-transporting ATPase YBT1
YCF1	ATP-binding cassette glutathione S-conjugate transporter YCF1
YCG1	condensin subunit YCG1
YCH1	phosphatase YCH1
YCK1	serine/threonine protein kinase YCK1
YCK2	serine/threonine protein kinase YCK2
YCK3	casein kinase YCK3
YCL001W-A	hypothetical protein
YCL001W-B	hypothetical protein
YCL002C	hypothetical protein
YCL012C	hypothetical protein
YCL019W	gag-pol fusion protein
YCL020W	gag protein
YCL021W-A	hypothetical protein
YCL042W	hypothetical protein
YCL048W-A	hypothetical protein
YCL049C	hypothetical protein
YCL068C	hypothetical protein
YCL074W	pseudo
YCL075W	pseudo
YCP4	flavodoxin-like fold family protein
YCR001W	hypothetical protein
YCR006C	hypothetical protein
YCR007C	DUP240 family protein
YCR016W	hypothetical protein
YCR022C	hypothetical protein
YCR023C	hypothetical protein
YCR024C-B	hypothetical protein
YCR025C	hypothetical protein
YCR041W	hypothetical protein
YCR043C	hypothetical protein
YCR050C	hypothetical protein
YCR051W	hypothetical protein
YCR061W	hypothetical protein
YCR085W	hypothetical protein
YCR087C-A	hypothetical protein
YCR090C	hypothetical protein
YCR095W-A	hypothetical protein
YCR099C	hypothetical protein
YCR100C	hypothetical protein
YCR101C	hypothetical protein
YCR102C	hypothetical protein
YCR108C	hypothetical protein
YCS4	condensin subunit YCS4
YCT1	Yct1p
YDC1	alkaline dihydroceramidase
YDJ1	type I HSP40 co-chaperone YDJ1
YDL007C-A	hypothetical protein
YDL009C	hypothetical protein
YDL012C	hypothetical protein
YDL022C-A	hypothetical protein
YDL057W	hypothetical protein
YDL085C-A	hypothetical protein
YDL086W	carboxymethylenebutenolidase
YDL109C	putative lipase
YDL114W	short-chain dehydrogenase/reductase
YDL121C	hypothetical protein
YDL124W	aldo-keto reductase superfamily protein
YDL129W	hypothetical protein
YDL144C	hypothetical protein
YDL157C	hypothetical protein
YDL159W-A	hypothetical protein
YDL176W	hypothetical protein
YDL177C	hypothetical protein
YDL180W	hypothetical protein
YDL183C	hypothetical protein
YDL186W	hypothetical protein
YDL199C	hypothetical protein
YDL206W	hypothetical protein
YDL211C	hypothetical protein
YDL218W	hypothetical protein
YDL241W	hypothetical protein
YDL242W	hypothetical protein
YDR003W-A	hypothetical protein
YDR010C	hypothetical protein
YDR018C	putative acyltransferase
YDR029W	hypothetical protein
YDR034C-A	hypothetical protein
YDR034C-C	gag protein
YDR034C-D	gag-pol fusion protein
YDR034W-B	hypothetical protein
YDR042C	hypothetical protein
YDR061W	hypothetical protein
YDR090C	hypothetical protein
YDR098C-A	gag protein
YDR098C-B	gag-pol fusion protein
YDR102C	hypothetical protein
YDR109C	putative phosphotransferase
YDR114C	hypothetical protein
YDR124W	hypothetical protein
YDR131C	hypothetical protein
YDR132C	hypothetical protein
YDR134C	pseudo
YDR157W	hypothetical protein
YDR169C-A	hypothetical protein
YDR170W-A	gag protein
YDR182W-A	hypothetical protein
YDR194W-A	hypothetical protein
YDR209C	hypothetical protein
YDR210C-C	gag protein
YDR210C-D	gag-pol fusion protein
YDR210W	hypothetical protein
YDR210W-A	gag protein
YDR210W-B	gag-pol fusion protein
YDR215C	hypothetical protein
YDR222W	hypothetical protein
YDR239C	hypothetical protein
YDR246W-A	hypothetical protein
YDR248C	gluconokinase
YDR249C	hypothetical protein
YDR261C-C	gag protein
YDR261C-D	gag-pol fusion protein
YDR261W-A	gag protein
YDR261W-B	gag-pol fusion protein
YDR262W	hypothetical protein
YDR274C	hypothetical protein
YDR278C	hypothetical protein
YDR286C	hypothetical protein
YDR306C	hypothetical protein
YDR316W-A	gag protein
YDR316W-B	gag-pol fusion protein
YDR338C	hypothetical protein
YDR341C	arginine--tRNA ligase
YDR344C	hypothetical protein
YDR365W-A	gag protein
YDR365W-B	gag-pol fusion protein
YDR366C	hypothetical protein
YDR381C-A	hypothetical protein
YDR391C	hypothetical protein
YDR415C	putative aminopeptidase
YDR444W	putative hydrolase
YDR461C-A	hypothetical protein
YDR476C	hypothetical protein
YDR514C	hypothetical protein
YDR524C-B	hypothetical protein
YDR524W-C	hypothetical protein
YDR541C	carbonyl reductase (NADPH-dependent)
YEA4	Yea4p
YEA6	NAD+ transporter
YEF1	NADH/NAD(+) kinase
YEF3	translation elongation factor EF-3
YEH1	sterol esterase
YEH2	sterol esterase
YEL008W	hypothetical protein
YEL009C-A	hypothetical protein
YEL014C	hypothetical protein
YEL023C	hypothetical protein
YEL025C	hypothetical protein
YEL028W	hypothetical protein
YEL043W	hypothetical protein
YEL067C	hypothetical protein
YEL068C	hypothetical protein
YEL073C	hypothetical protein
YEL075C	hypothetical protein
YEL076C	hypothetical protein
YEL076C-A	hypothetical protein
YEL077C	Y' element ATP-dependent helicase
YEL1	Arf family guanine nucleotide exchange factor YEL1
YEN1	crossover junction endodeoxyribonuclease
YER010C	bifunctional 4-hydroxy-4-methyl-2-oxoglutarate aldolase/oxaloacetate decarboxylase
YER034W	hypothetical protein
YER039C-A	hypothetical protein
YER053C-A	hypothetical protein
YER076C	hypothetical protein
YER078W-A	hypothetical protein
YER079W	hypothetical protein
YER084W	hypothetical protein
YER085C	hypothetical protein
YER121W	hypothetical protein
YER134C	Mg-dependent acid phosphatase
YER135C	hypothetical protein
YER137C	hypothetical protein
YER137C-A	gag protein
YER138C	gag-pol fusion protein
YER138W-A	hypothetical protein
YER145C-A	hypothetical protein
YER152C	2-aminoadipate transaminase
YER156C	hypothetical protein
YER158C	hypothetical protein
YER159C-A	gag protein
YER160C	gag-pol fusion protein
YER175W-A	hypothetical protein
YER181C	hypothetical protein
YER186C	hypothetical protein
YER187W	hypothetical protein
YER188C-A	hypothetical protein
YER188W	hypothetical protein
YER189W	hypothetical protein
YER190C-B	hypothetical protein
YET1	Yet1p
YET2	Yet2p
YET3	Yet3p
YFH1	ferroxidase
YFH7	Yfh7p
YFL002W-A	gag-pol fusion protein
YFL002W-B	gag protein
YFL012W	hypothetical protein
YFL015C	hypothetical protein
YFL019C	hypothetical protein
YFL040W	hypothetical protein
YFL041W-A	hypothetical protein
YFL051C	hypothetical protein
YFL064C	hypothetical protein
YFL065C	hypothetical protein
YFL066C	Y' element ATP-dependent helicase
YFL067W	hypothetical protein
YFL068W	hypothetical protein
YFR006W	putative Xaa-Pro dipeptidase
YFR012W-A	hypothetical protein
YFR016C	hypothetical protein
YFR018C	hypothetical protein
YFR032C-B	hypothetical protein
YFR035C	hypothetical protein
YFR045W	hypothetical protein
YFR054C	hypothetical protein
YFR057W	hypothetical protein
YFT2	Yft2p
YGK3	serine/threonine protein kinase YGK3
YGL006W-A	hypothetical protein
YGL007C-A	hypothetical protein
YGL015C	hypothetical protein
YGL034C	hypothetical protein
YGL036W	hypothetical protein
YGL039W	carbonyl reductase (NADPH-dependent)
YGL041C-B	hypothetical protein
YGL041W-A	hypothetical protein
YGL081W	hypothetical protein
YGL082W	hypothetical protein
YGL088W	hypothetical protein
YGL101W	hypothetical protein
YGL108C	hypothetical protein
YGL114W	hypothetical protein
YGL117W	hypothetical protein
YGL118C	hypothetical protein
YGL138C	hypothetical protein
YGL140C	hypothetical protein
YGL149W	hypothetical protein
YGL159W	hypothetical protein
YGL176C	hypothetical protein
YGL185C	putative hydroxyacid dehydrogenase
YGL188C-A	hypothetical protein
YGL193C	hypothetical protein
YGL194C-A	hypothetical protein
YGL204C	hypothetical protein
YGL230C	hypothetical protein
YGL235W	hypothetical protein
YGL242C	hypothetical protein
YGL258W-A	hypothetical protein
YGL260W	hypothetical protein
YGL262W	hypothetical protein
YGP1	Ygp1p
YGR015C	putative hydrolase
YGR016W	hypothetical protein
YGR017W	hypothetical protein
YGR018C	hypothetical protein
YGR021W	hypothetical protein
YGR025W	hypothetical protein
YGR026W	hypothetical protein
YGR027W-A	gag protein
YGR027W-B	gag-pol fusion protein
YGR035C	hypothetical protein
YGR035W-A	hypothetical protein
YGR038C-A	gag protein
YGR038C-B	gag-pol fusion protein
YGR039W	hypothetical protein
YGR045C	hypothetical protein
YGR050C	hypothetical protein
YGR053C	hypothetical protein
YGR054W	hypothetical protein
YGR066C	hypothetical protein
YGR067C	hypothetical protein
YGR079W	hypothetical protein
YGR109W-A	gag protein
YGR109W-B	gag-pol fusion protein
YGR111W	hypothetical protein
YGR117C	hypothetical protein
YGR121W-A	hypothetical protein
YGR122W	hypothetical protein
YGR125W	hypothetical protein
YGR126W	hypothetical protein
YGR127W	hypothetical protein
YGR130C	hypothetical protein
YGR146C-A	hypothetical protein
YGR153W	hypothetical protein
YGR161C-C	gag protein
YGR161C-D	gag-pol fusion protein
YGR161W-A	gag protein
YGR161W-B	gag-pol fusion protein
YGR161W-C	hypothetical protein
YGR164W	hypothetical protein
YGR168C	hypothetical protein
YGR174W-A	hypothetical protein
YGR201C	hypothetical protein
YGR204C-A	hypothetical protein
YGR210C	hypothetical protein
YGR237C	hypothetical protein
YGR240C-A	hypothetical protein
YGR266W	hypothetical protein
YGR273C	hypothetical protein
YGR283C	putative methyltransferase
YHB1	flavohemoglobin
YHC1	Yhc1p
YHC3	amino acid transporter YHC3
YHI9	Yhi9p
YHK8	Yhk8p
YHL005C	hypothetical protein
YHL008C	hypothetical protein
YHL009W-A	gag protein
YHL009W-B	gag-pol fusion protein
YHL012W	UTP--glucose-1-phosphate uridylyltransferase
YHL015W-A	hypothetical protein
YHL017W	hypothetical protein
YHL018W	4a-hydroxytetrahydrobiopterin dehydratase
YHL026C	hypothetical protein
YHL037C	hypothetical protein
YHL041W	hypothetical protein
YHL042W	hypothetical protein
YHL044W	DUP240 family protein
YHL048C-A	hypothetical protein
YHL049C	hypothetical protein
YHL050C	hypothetical protein
YHM2	Yhm2p
YHP1	Yhp1p
YHR007C-A	hypothetical protein
YHR020W	proline--tRNA ligase
YHR022C	hypothetical protein
YHR022C-A	hypothetical protein
YHR033W	putative glutamate 5-kinase
YHR045W	hypothetical protein
YHR050W-A	hypothetical protein
YHR054C	hypothetical protein
YHR078W	hypothetical protein
YHR086W-A	hypothetical protein
YHR097C	hypothetical protein
YHR112C	putative cystathionine beta-lyase
YHR125W	hypothetical protein
YHR127W	hypothetical protein
YHR130C	hypothetical protein
YHR131C	hypothetical protein
YHR138C	hypothetical protein
YHR139C-A	hypothetical protein
YHR140W	hypothetical protein
YHR173C	hypothetical protein
YHR175W-A	hypothetical protein
YHR177W	hypothetical protein
YHR180W	hypothetical protein
YHR182W	hypothetical protein
YHR202W	hypothetical protein
YHR210C	aldose 1-epimerase superfamily protein
YHR212W-A	hypothetical protein
YHR213W	hypothetical protein
YHR213W-A	hypothetical protein
YHR213W-B	hypothetical protein
YHR214C-B	gag-pol fusion protein
YHR214C-C	gag protein
YHR214C-D	hypothetical protein
YHR214C-E	hypothetical protein
YHR214W	hypothetical protein
YHR218W	hypothetical protein
YHR219W	hypothetical protein
YIA6	NAD+ transporter
YIF1	Yif1p
YIG1	Yig1p
YIH1	Yih1p
YIL001W	hypothetical protein
YIL002W-A	hypothetical protein
YIL012W	hypothetical protein
YIL014C-A	hypothetical protein
YIL024C	hypothetical protein
YIL029C	hypothetical protein
YIL046W-A	hypothetical protein
YIL054W	hypothetical protein
YIL055C	hypothetical protein
YIL060W	hypothetical protein
YIL067C	hypothetical protein
YIL077C	hypothetical protein
YIL082W-A	gag-pol fusion protein
YIL086C	hypothetical protein
YIL089W	hypothetical protein
YIL092W	hypothetical protein
YIL102C	hypothetical protein
YIL102C-A	hypothetical protein
YIL105W-A	hypothetical protein
YIL108W	putative metalloendopeptidase
YIL134C-A	hypothetical protein
YIL152W	hypothetical protein
YIL156W-B	hypothetical protein
YIL161W	hypothetical protein
YIL163C	hypothetical protein
YIL165C	hypothetical protein
YIL166C	hypothetical protein
YIL171W	pseudo
YIL174W	pseudo
YIL175W	pseudo
YIL177C	Y' element ATP-dependent helicase
YIM1	Yim1p
YIP1	transporter YIP1
YIP3	Yip3p
YIP4	Yip4p
YIP5	Yip5p
YIR014W	hypothetical protein
YIR016W	hypothetical protein
YIR018C-A	hypothetical protein
YIR020C	hypothetical protein
YIR021W-A	hypothetical protein
YIR035C	sepiapterin reductase family protein
YIR042C	hypothetical protein
YIR043C	pseudo
YJL007C	hypothetical protein
YJL027C	hypothetical protein
YJL028W	hypothetical protein
YJL043W	hypothetical protein
YJL045W	succinate dehydrogenase SDH1b
YJL047C-A	hypothetical protein
YJL052C-A	hypothetical protein
YJL055W	hypothetical protein
YJL068C	S-formylglutathione hydrolase
YJL070C	metallo-dependent hydrolase superfamily protein
YJL077W-A	hypothetical protein
YJL077W-B	hypothetical protein
YJL107C	hypothetical protein
YJL113W	gag-pol fusion protein
YJL114W	gag protein
YJL118W	hypothetical protein
YJL127C-B	hypothetical protein
YJL132W	hypothetical protein
YJL133C-A	hypothetical protein
YJL136W-A	hypothetical protein
YJL144W	hypothetical protein
YJL163C	hypothetical protein
YJL193W	hypothetical protein
YJL206C	hypothetical protein
YJL213W	hypothetical protein
YJL218W	acetyltransferase
YJL225C	Y' element ATP-dependent helicase
YJR011C	hypothetical protein
YJR012C	hypothetical protein
YJR015W	hypothetical protein
YJR026W	gag protein
YJR027W	gag-pol fusion protein
YJR028W	gag protein
YJR029W	gag-pol fusion protein
YJR039W	hypothetical protein
YJR056C	hypothetical protein
YJR061W	hypothetical protein
YJR079W	hypothetical protein
YJR084W	hypothetical protein
YJR085C	hypothetical protein
YJR096W	aldo-keto reductase superfamily protein
YJR098C	hypothetical protein
YJR112W-A	hypothetical protein
YJR115W	hypothetical protein
YJR120W	hypothetical protein
YJR124C	hypothetical protein
YJR128W	hypothetical protein
YJR142W	hypothetical protein
YJR146W	hypothetical protein
YJR149W	putative nitronate monooxygenase
YJR151W-A	hypothetical protein
YJR154W	hypothetical protein
YJU2	mRNA splicing protein YJU2
YJU3	acylglycerol lipase
YKE2	tubulin-binding prefolding complex subunit YKE2
YKE4	Zn(2+) transporter YKE4
YKL018C-A	hypothetical protein
YKL023C-A	hypothetical protein
YKL023W	hypothetical protein
YKL033W-A	putative hydrolase
YKL050C	hypothetical protein
YKL063C	hypothetical protein
YKL065W-A	hypothetical protein
YKL068W-A	hypothetical protein
YKL069W	L-methionine (R)-S-oxide reductase
