15S_RRNA	15S ribosomal RNA
CMC4	Cmc4p
CMD1	calmodulin
CMG1	Cmg1p
CMK1	calmodulin-dependent protein kinase CMK1
CMK2	calmodulin-dependent protein kinase CMK2
CMP2	calcineurin catalytic subunit A
CMR1	Cmr1p
CMR2	Cmr2p
CMR3	Cmr3p
CMS1	Cms1p
CNA1	calcineurin catalytic subunit A
CNB1	calcineurin regulatory subunit B
CNE1	calnexin
CNL1	Cnl1p
CNM67	Cnm67p
CNN1	centromere-binding protein CNN1
CNS1	HSP70/90 family co-chaperone CNS1
COA1	Coa1p
COA2	Coa2p
COA3	Coa3p
COA4	Coa4p
COA6	Coa6p
COB	cytochrome b
COF1	cofilin
COG1	Golgi transport complex subunit COG1
COG2	Golgi transport complex subunit COG2
COG3	Golgi transport complex subunit COG3
COG4	Golgi transport complex subunit COG4
COG5	Golgi transport complex subunit COG5
COG6	Golgi transport complex subunit COG6
COG7	Golgi transport complex subunit COG7
COG8	Golgi transport complex subunit COG8
COM2	Com2p
COP1	coatomer subunit alpha
COQ1	trans-hexaprenyltranstransferase
COQ10	ubiquinone-binding protein COQ10
COQ11	ubiquinone biosynthesis protein COQ11
COQ2	4-hydroxybenzoate octaprenyltransferase
COQ3	hexaprenyldihydroxybenzoate methyltransferase
COQ4	ubiquinone biosynthesis protein COQ4
COQ5	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase
COQ6	putative N,N-dimethylaniline monooxygenase COQ6
COQ8	protein kinase COQ8
COQ9	ubiquinone biosynthesis protein COQ9
COR1	ubiquinol--cytochrome-c reductase subunit COR1
COS1	Cos1p
COS10	Cos10p
COS111	Cos111p
COS12	Cos12p
COS2	Cos2p
COS3	Cos3p
COS4	Cos4p
COS5	Cos5p
COS6	Cos6p
COS7	Cos7p
COS8	Cos8p
COS9	Cos9p
COT1	metal cation transporter COT1
COX1	cytochrome c oxidase subunit 1
COX10	protoheme IX farnesyltransferase
COX11	Cox11p
COX12	cytochrome c oxidase subunit VIb
COX13	cytochrome c oxidase subunit VIa
COX14	Cox14p
COX15	Cox15p
COX16	Cox16p
COX17	copper metallochaperone COX17
COX18	membrane insertase COX18
COX19	Cox19p
COX2	cytochrome c oxidase subunit 2
COX20	Cox20p
COX23	Cox23p
COX26	Cox26p
COX3	cytochrome c oxidase subunit 3
COX4	cytochrome c oxidase subunit IV
COX5A	cytochrome c oxidase subunit Va
